Area,Course,Date,Skills,Technology,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Business,Developing Political Sawoa,2015-01-09,Team Building,Concepts,,,Yes,Todd Duwett,Linkedin,1,0,1,United States
Business,Overcoming Your Fear of Public Speech,2015-01-09,Marketing,Concepts,,,Yes,Todd Duwett,Linkedin,1,0,1,United States
Business,Top 5 Speed Reading Tips,2015-01-09,Productivity,Concepts,,,Yes,Paul Nowak,Linkedin,1,0,1,United States
Business,Building Self Confidence,2015-01-09,Concepts,Concepts,,,Yes,Todd Duwett,Linkedin,1,0,1,United States
Project Management,Financial for non Finantial Managers,2015-01-08,PMBOK,Concepts,,,Yes,Jim Stice,Linkedin,2,0,2,United States
Project Management,Managing Virtual Teams,2015-01-08,Team Building,Concepts,,,Yes,Bob Mcgannon,Linkedin,2,0,2,United States
Data Science,Up and Running With Tableau 2014,2015-01-08,Visualization,Tableau,,,Yes,Curt Frye,Linkedin,1,2,3,United States
Data Science,Transition from Datawarehouse to Big data,2015-01-08,Data Management,Concepts,,,Yes,Alan Simon,Linkedin,2,4,6,United States
Information technology,Understanding SSH,2015-01-08,Security,Criptography,,,Yes,Scott Simpson,Linkedin,1,2,3,United States
Information technology,Growth Hacking Fundamentals,2015-01-08,Security,Fundamentals,,,Yes,Brad Batesol,Linkedin,2,4,6,United States
Business,Grammar Fundamentals,2015-01-08,Productivity,Concepts,,,Yes,Judy Steiner Willians,Linkedin,2,0,2,United States
Business,Top 5 Tips to Name Your Brand,2015-01-08,Marketing,Concepts,,,Yes,Drew Boyd,Linkedin,2,0,2,United States
Business,Business Etiquette Phone Mail and Text,2015-01-08,Marketing,Concepts,,,Yes,Suzana Kaye,Linkedin,1,0,1,United States
Business,Humor in the Workspace,2015-01-08,Concepts,Concepts,,,Yes,Izzy Gessel,Linkedin,1,0,1,United States
Project Management,Insights from a Project Manager,2015-01-07,Productivity,Concepts,,,Yes,Bob Mcgannon,Linkedin,2,0,2,United States
Project Management,Solving Common Project Problems,2015-01-07,Productivity,Concepts,,,Yes,Bob Mcgannon,Linkedin,1,0,1,United States
Data Science,The Fundamentals of Document Retention and Data Management,2015-01-07,Data Management,Concepts,,,Yes,Willian Joseph,Linkedin,2,0,2,United States
